episode,time,laser_scan,robot_lin_vel_x,robot_lin_vel_y,robot_ang_vel,robot_orientation,robot_pos_x,robot_pos_y,action,model
0,1.02,[1.099],-0.0,0.0,0.0,0.0,-3.71,9.21,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,1.428,[1.095],-0.2,0.0,-0.126,-0.005,-3.742,9.21,"[-0.196, 0.0, -0.239]",turtlebot3_burger
0,1.926,[1.088],-0.177,0.0,-0.3,-0.131,-3.835,9.215,"[-0.174, 0.0, -0.3]",turtlebot3_burger
0,2.329,[1.079],-0.154,0.0,-0.308,-0.247,-3.9,9.228,"[-0.129, 0.0, -0.3]",turtlebot3_burger
0,2.824,[1.052],0.008,0.0,-0.587,-0.406,-3.952,9.244,"[0.162, 0.0, -0.3]",turtlebot3_burger
0,3.228,[1.071],0.184,0.0,-0.81,-0.832,-3.919,9.218,"[0.22, 0.0, -0.3]",turtlebot3_burger
0,3.726,[1.147],0.222,0.0,-0.244,-0.994,-3.853,9.13,"[0.22, 0.0, -0.244]",turtlebot3_burger
0,4.126,[1.222],0.221,0.0,-0.232,-1.081,-3.812,9.06,"[0.22, 0.0, -0.229]",turtlebot3_burger
0,4.624,[1.322],0.222,0.0,-0.223,-1.201,-3.763,8.953,"[0.22, 0.0, -0.216]",turtlebot3_burger
0,5.024,[1.302],0.222,0.0,-0.209,-1.286,-3.734,8.869,"[0.22, 0.0, -0.21]",turtlebot3_burger
0,5.425,[1.258],0.222,0.0,-0.196,-1.369,-3.713,8.783,"[0.22, 0.0, -0.205]",turtlebot3_burger
0,5.825,[1.226],0.221,0.0,-0.19,-1.444,-3.7,8.703,"[0.22, 0.0, -0.201]",turtlebot3_burger
0,6.324,[1.18],0.221,0.0,-0.124,-1.542,-3.691,8.585,"[0.22, 0.0, -0.09]",turtlebot3_burger
0,6.724,[1.126],0.219,0.0,0.0,-1.565,-3.69,8.497,"[0.22, 0.0, -0.005]",turtlebot3_burger
0,7.125,[1.119],0.22,-0.0,-0.01,-1.567,-3.689,8.416,"[0.22, 0.0, -0.02]",turtlebot3_burger
0,7.624,[1.078],0.22,0.0,-0.001,-1.572,-3.689,8.299,"[0.22, 0.0, -0.001]",turtlebot3_burger
0,8.124,[1.047],0.219,0.0,0.004,-1.572,-3.689,8.189,"[0.22, 0.0, -0.02]",turtlebot3_burger
0,8.624,[1.046],0.219,0.0,0.016,-1.576,-3.689,8.079,"[0.22, 0.0, 0.005]",turtlebot3_burger
0,9.124,[1.045],0.219,0.0,0.014,-1.576,-3.69,7.969,"[0.22, 0.0, -0.019]",turtlebot3_burger
0,9.623,[1.047],0.219,0.0,0.019,-1.579,-3.691,7.866,"[0.22, 0.0, 0.0]",turtlebot3_burger
0,10.024,[1.059],0.219,0.0,0.02,-1.579,-3.692,7.771,"[0.22, 0.0, 0.009]",turtlebot3_burger
0,10.523,[1.075],0.219,0.0,0.02,-1.58,-3.692,7.668,"[0.22, 0.0, 0.006]",turtlebot3_burger
0,10.924,[1.087],0.219,-0.0,0.01,-1.58,-3.693,7.573,"[0.22, 0.0, 0.015]",turtlebot3_burger
0,11.424,[1.135],0.219,-0.0,0.018,-1.579,-3.694,7.471,"[0.22, 0.0, 0.01]",turtlebot3_burger
0,11.824,[1.159],0.22,0.0,-0.004,-1.579,-3.695,7.375,"[0.22, 0.0, 0.016]",turtlebot3_burger
0,12.224,[1.184],0.221,0.0,-0.084,-1.582,-3.695,7.287,"[0.22, 0.0, -0.064]",turtlebot3_burger
0,12.724,[1.256],0.218,0.0,-0.03,-1.598,-3.698,7.177,"[0.22, 0.0, 0.005]",turtlebot3_burger
0,13.124,[1.317],0.221,-0.0,-0.017,-1.598,-3.7,7.089,"[0.22, 0.0, 0.003]",turtlebot3_burger
0,13.524,[1.378],0.221,0.0,-0.012,-1.599,-3.702,7.001,"[0.22, 0.0, -0.01]",turtlebot3_burger
0,13.925,[1.406],0.22,0.0,0.003,-1.601,-3.705,6.914,"[0.22, 0.0, -0.012]",turtlebot3_burger
0,14.425,[1.412],0.221,0.0,-0.085,-1.637,-3.71,6.804,"[0.22, 0.0, -0.051]",turtlebot3_burger
0,14.923,[1.361],0.22,0.0,0.033,-1.641,-3.717,6.702,"[0.22, 0.0, 0.006]",turtlebot3_burger
0,15.324,[1.332],0.22,0.0,0.029,-1.635,-3.724,6.607,"[0.22, 0.0, 0.008]",turtlebot3_burger
0,15.729,[1.302],0.219,0.0,0.032,-1.634,-3.729,6.526,"[0.22, 0.0, 0.027]",turtlebot3_burger
0,16.223,[1.285],0.22,0.0,0.012,-1.626,-3.736,6.409,"[0.22, 0.0, 0.014]",turtlebot3_burger
0,16.624,[1.274],0.219,0.0,0.024,-1.624,-3.74,6.329,"[0.22, 0.0, 0.022]",turtlebot3_burger
0,17.024,[1.262],0.219,0.0,0.007,-1.62,-3.745,6.234,"[0.22, 0.0, 0.015]",turtlebot3_burger
0,17.524,[1.255],0.219,0.0,0.01,-1.616,-3.749,6.131,"[0.22, 0.0, 0.021]",turtlebot3_burger
0,18.022,[1.245],0.22,0.0,-0.052,-1.622,-3.754,6.022,"[0.22, 0.0, -0.159]",turtlebot3_burger
0,18.423,[1.262],0.218,-0.0,-0.195,-1.688,-3.762,5.926,"[0.22, 0.0, -0.085]",turtlebot3_burger
0,18.824,[1.275],0.219,-0.0,0.198,-1.683,-3.772,5.846,"[0.22, 0.0, 0.201]",turtlebot3_burger
0,19.225,[1.282],0.221,-0.0,0.156,-1.613,-3.778,5.76,"[0.22, 0.0, 0.163]",turtlebot3_burger
0,19.729,[1.285],0.22,0.0,0.061,-1.554,-3.78,5.644,"[0.22, 0.0, 0.021]",turtlebot3_burger
0,20.223,[1.286],0.203,0.018,0.19,-1.532,-3.775,5.535,"[0.22, 0.0, 0.082]",turtlebot3_burger
0,20.624,[1.267],0.222,0.0,-0.142,-1.528,-3.771,5.455,"[0.22, 0.0, -0.112]",turtlebot3_burger
0,21.024,[1.266],0.22,0.0,-0.008,-1.562,-3.769,5.36,"[0.22, 0.0, 0.017]",turtlebot3_burger
0,21.522,[1.258],0.22,0.0,0.025,-1.56,-3.768,5.257,"[0.22, 0.0, 0.016]",turtlebot3_burger
0,21.923,[1.263],0.22,0.0,0.04,-1.547,-3.767,5.162,"[0.22, 0.0, 0.013]",turtlebot3_burger
0,22.424,[1.258],0.22,0.0,0.047,-1.541,-3.764,5.06,"[0.22, 0.0, 0.031]",turtlebot3_burger
0,22.825,[1.249],0.219,-0.0,0.104,-1.514,-3.76,4.965,"[0.22, 0.0, 0.071]",turtlebot3_burger
0,23.324,[1.248],0.219,0.0,0.069,-1.485,-3.753,4.863,"[0.22, 0.0, 0.011]",turtlebot3_burger
0,23.824,[1.222],0.22,0.0,0.026,-1.464,-3.742,4.754,"[0.22, 0.0, -0.014]",turtlebot3_burger
0,24.225,[1.226],0.22,0.0,-0.048,-1.468,-3.732,4.659,"[0.22, 0.0, -0.052]",turtlebot3_burger
0,24.725,[1.223],0.221,0.0,-0.074,-1.502,-3.723,4.549,"[0.22, 0.0, -0.092]",turtlebot3_burger
0,25.224,[1.221],0.22,0.0,-0.038,-1.531,-3.717,4.447,"[0.22, 0.0, -0.048]",turtlebot3_burger
0,25.724,[1.237],0.22,0.0,-0.0,-1.544,-3.714,4.329,"[0.22, 0.0, -0.024]",turtlebot3_burger
0,26.125,[1.26],0.22,0.0,-0.006,-1.55,-3.711,4.241,"[0.22, 0.0, -0.023]",turtlebot3_burger
0,26.622,[1.214],0.22,0.0,-0.01,-1.555,-3.71,4.139,"[0.22, 0.0, -0.011]",turtlebot3_burger
0,27.024,[1.184],0.219,0.0,0.002,-1.558,-3.708,4.043,"[0.22, 0.0, -0.013]",turtlebot3_burger
0,27.528,[1.112],0.22,0.0,0.006,-1.561,-3.707,3.933,"[0.22, 0.0, -0.009]",turtlebot3_burger
0,28.025,[1.084],0.22,0.0,-0.003,-1.562,-3.706,3.831,"[0.22, 0.0, -0.008]",turtlebot3_burger
0,28.525,[1.055],0.22,0.0,-0.005,-1.564,-3.705,3.713,"[0.22, 0.0, -0.008]",turtlebot3_burger
0,29.025,[1.033],0.22,0.0,-0.001,-1.566,-3.705,3.611,"[0.22, 0.0, -0.003]",turtlebot3_burger
0,29.524,[1.033],0.222,0.0,-0.2,-1.625,-3.706,3.493,"[0.22, 0.0, -0.167]",turtlebot3_burger
0,30.022,[1.009],0.222,0.0,-0.118,-1.705,-3.717,3.383,"[0.22, 0.0, -0.128]",turtlebot3_burger
0,30.424,[1.018],0.154,0.0,-0.149,-1.755,-3.729,3.309,"[0.22, 0.0, -0.202]",turtlebot3_burger
0,30.825,[0.988],0.125,0.0,-0.421,-1.952,-3.748,3.233,"[0.11, 0.0, -0.203]",turtlebot3_burger
0,31.225,[0.984],0.11,0.0,-0.0,-2.021,-3.765,3.196,"[0.11, 0.0, 0.108]",turtlebot3_burger
0,31.723,[0.965],0.109,-0.0,0.106,-1.948,-3.788,3.143,"[0.11, 0.0, 0.059]",turtlebot3_burger
0,32.125,[0.973],0.111,0.0,-0.084,-1.959,-3.803,3.106,"[0.11, 0.0, 0.025]",turtlebot3_burger
0,32.625,[0.958],0.11,-0.0,0.02,-1.979,-3.825,3.055,"[0.11, 0.0, -0.089]",turtlebot3_burger
0,33.126,[0.963],0.11,0.0,0.027,-2.005,-3.849,3.002,"[0.11, 0.0, -0.084]",turtlebot3_burger
0,33.625,[0.953],0.111,0.0,-0.136,-2.067,-3.873,2.952,"[0.11, 0.0, -0.114]",turtlebot3_burger
0,34.124,[0.941],0.111,0.0,-0.045,-2.111,-3.901,2.905,"[0.11, 0.0, -0.16]",turtlebot3_burger
0,34.623,[0.956],0.112,0.0,-0.217,-2.199,-3.929,2.861,"[0.11, 0.0, -0.219]",turtlebot3_burger
0,35.023,[0.951],0.112,0.0,-0.219,-2.298,-3.959,2.824,"[0.11, 0.0, -0.208]",turtlebot3_burger
0,35.424,[0.94],0.112,0.0,-0.199,-2.378,-3.99,2.792,"[0.11, 0.0, -0.201]",turtlebot3_burger
0,35.924,[0.935],0.111,0.0,-0.098,-2.451,-4.029,2.757,"[0.11, 0.0, -0.072]",turtlebot3_burger
0,36.424,[0.913],0.11,0.0,-0.031,-2.473,-4.074,2.721,"[0.11, 0.0, -0.003]",turtlebot3_burger
0,36.924,[0.901],0.107,0.0,-0.022,-2.475,-4.118,2.687,"[0.11, 0.0, -0.013]",turtlebot3_burger
0,37.423,[0.908],0.11,0.0,-0.004,-2.481,-4.158,2.655,"[0.11, 0.0, 0.003]",turtlebot3_burger
0,37.824,[0.916],0.107,0.0,0.012,-2.483,-4.196,2.626,"[0.11, 0.0, -0.011]",turtlebot3_burger
0,38.324,[0.916],0.11,0.0,0.016,-2.487,-4.236,2.595,"[0.11, 0.0, 0.007]",turtlebot3_burger
0,38.824,[0.925],0.108,0.0,-0.031,-2.491,-4.282,2.559,"[0.11, 0.0, -0.004]",turtlebot3_burger
0,39.325,[0.92],0.11,0.0,0.003,-2.497,-4.326,2.527,"[0.11, 0.0, 0.005]",turtlebot3_burger
0,39.825,[0.929],0.107,0.0,-0.032,-2.513,-4.37,2.494,"[0.11, 0.0, -0.131]",turtlebot3_burger
0,40.324,[0.941],0.111,0.0,-0.009,-2.549,-4.416,2.462,"[0.11, 0.0, -0.117]",turtlebot3_burger
0,40.726,[0.952],0.11,-0.0,-0.033,-2.576,-4.453,2.438,"[0.11, 0.0, 0.079]",turtlebot3_burger
0,41.226,[0.946],0.11,0.0,0.064,-2.535,-4.498,2.408,"[0.11, 0.0, 0.172]",turtlebot3_burger
0,41.627,[0.968],0.105,0.0,0.119,-2.486,-4.53,2.385,"[0.11, 0.0, -0.006]",turtlebot3_burger
0,42.126,[0.923],0.111,0.0,-0.114,-2.492,-4.576,2.349,"[0.11, 0.0, -0.174]",turtlebot3_burger
0,42.626,[0.913],0.11,0.0,-0.141,-2.545,-4.618,2.319,"[0.11, 0.0, -0.11]",turtlebot3_burger
0,43.126,[0.774],0.109,-0.0,0.177,-2.562,-4.667,2.288,"[0.11, 0.0, 0.177]",turtlebot3_burger
0,43.623,[0.592],0.107,-0.0,0.202,-2.47,-4.711,2.256,"[0.11, 0.0, 0.201]",turtlebot3_burger
0,44.026,[0.606],0.108,-0.0,0.202,-2.392,-4.744,2.228,"[0.11, 0.0, 0.194]",turtlebot3_burger
0,44.525,[0.658],0.108,0.0,0.077,-2.327,-4.782,2.189,"[0.11, 0.0, 0.046]",turtlebot3_burger
0,44.926,[0.7],0.111,0.0,-0.128,-2.347,-4.812,2.158,"[0.11, 0.0, -0.094]",turtlebot3_burger
0,45.424,[0.649],0.108,0.0,-0.2,-2.409,-4.849,2.121,"[0.11, 0.0, -0.099]",turtlebot3_burger
0,45.827,[0.731],0.111,0.0,-0.067,-2.456,-4.885,2.091,"[0.11, 0.0, -0.031]",turtlebot3_burger
0,46.326,[0.886],0.107,0.0,0.106,-2.425,-4.928,2.056,"[0.11, 0.0, 0.095]",turtlebot3_burger
0,46.728,[0.928],0.108,-0.0,0.204,-2.363,-4.957,2.029,"[0.11, 0.0, 0.166]",turtlebot3_burger
0,47.226,[1.041],0.125,0.0,-0.059,-2.271,-4.996,1.986,"[0.22, 0.0, 0.055]",turtlebot3_burger
0,47.725,[1.151],0.218,-0.0,0.192,-2.184,-5.054,1.911,"[0.22, 0.0, 0.201]",turtlebot3_burger
0,48.224,[1.307],0.221,0.0,-0.064,-2.116,-5.112,1.819,"[0.22, 0.0, -0.197]",turtlebot3_burger
0,48.722,[1.458],0.221,0.0,-0.231,-2.23,-5.174,1.728,"[0.22, 0.0, -0.23]",turtlebot3_burger
0,49.123,[1.587],0.217,0.0,-0.135,-2.31,-5.231,1.661,"[0.22, 0.0, -0.016]",turtlebot3_burger
0,49.524,[1.579],0.221,0.0,-0.08,-2.343,-5.291,1.596,"[0.22, 0.0, -0.059]",turtlebot3_burger
0,50.023,[1.493],0.218,-0.0,0.235,-2.31,-5.368,1.518,"[0.22, 0.0, 0.266]",turtlebot3_burger
0,50.524,[1.423],0.218,-0.0,0.289,-2.171,-5.435,1.433,"[0.22, 0.0, 0.3]",turtlebot3_burger
0,50.925,[1.377],0.216,-0.0,0.26,-2.054,-5.48,1.359,"[0.22, 0.0, 0.274]",turtlebot3_burger
0,51.424,[1.33],0.217,-0.0,0.276,-1.921,-5.521,1.267,"[0.22, 0.0, 0.273]",turtlebot3_burger
0,51.924,[1.3],0.218,-0.0,0.225,-1.783,-5.553,1.155,"[0.22, 0.0, 0.219]",turtlebot3_burger
0,52.325,[1.276],0.217,-0.0,0.207,-1.707,-5.567,1.076,"[0.22, 0.0, 0.201]",turtlebot3_burger
0,52.824,[1.275],0.217,-0.0,0.296,-1.59,-5.576,0.968,"[0.22, 0.0, 0.283]",turtlebot3_burger
0,53.226,[1.271],0.217,-0.0,0.268,-1.471,-5.572,0.874,"[0.22, 0.0, 0.263]",turtlebot3_burger
0,53.722,[1.286],0.218,-0.0,0.275,-1.337,-5.554,0.767,"[0.22, 0.0, 0.268]",turtlebot3_burger
0,54.125,[1.317],0.218,-0.0,0.245,-1.232,-5.529,0.684,"[0.22, 0.0, 0.244]",turtlebot3_burger
0,54.625,[1.354],0.218,-0.0,0.23,-1.12,-5.49,0.59,"[0.22, 0.0, 0.227]",turtlebot3_burger
0,55.124,[1.399],0.219,-0.0,0.215,-1.0,-5.433,0.489,"[0.22, 0.0, 0.212]",turtlebot3_burger
0,55.624,[1.402],0.218,-0.0,0.2,-0.896,-5.369,0.4,"[0.22, 0.0, 0.203]",turtlebot3_burger
0,56.025,[1.336],0.218,-0.0,0.209,-0.822,-5.317,0.34,"[0.22, 0.0, 0.201]",turtlebot3_burger
0,56.525,[1.249],0.219,0.0,0.056,-0.744,-5.24,0.263,"[0.22, 0.0, -0.057]",turtlebot3_burger
0,57.024,[1.172],0.22,0.0,-0.024,-0.769,-5.16,0.188,"[0.22, 0.0, 0.076]",turtlebot3_burger
0,57.426,[1.107],0.219,-0.0,0.057,-0.742,-5.091,0.122,"[0.22, 0.0, -0.007]",turtlebot3_burger
0,57.925,[1.045],0.22,0.0,-0.011,-0.744,-5.015,0.053,"[0.22, 0.0, -0.053]",turtlebot3_burger
0,58.426,[0.977],0.144,0.0,0.104,-0.754,-4.938,-0.019,"[0.11, 0.0, 0.004]",turtlebot3_burger
0,58.922,[0.936],0.111,0.0,-0.056,-0.76,-4.894,-0.06,"[0.11, 0.0, -0.012]",turtlebot3_burger
0,59.325,[0.892],0.11,0.0,0.001,-0.76,-4.865,-0.088,"[0.11, 0.0, -0.003]",turtlebot3_burger
0,59.825,[0.866],0.11,-0.0,0.038,-0.76,-4.825,-0.125,"[0.11, 0.0, -0.049]",turtlebot3_burger
0,65.121,[0.844],0.0,0.0,0.006,-0.789,-4.794,-0.156,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,70.321,[0.837],0.0,0.0,0.005,-0.762,-4.793,-0.156,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,70.771,[0.833],0.009,-0.0,0.8,-0.603,-4.789,-0.159,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,71.171,[0.829],-0.009,-0.0,0.995,-0.213,-4.792,-0.159,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,71.621,[0.811],-0.009,-0.0,1.008,0.255,-4.796,-0.159,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,72.021,[0.8],-0.008,-0.0,0.996,0.621,-4.799,-0.16,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,72.471,[0.777],-0.009,-0.0,0.995,1.081,-4.801,-0.163,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,72.92,[0.78],-0.009,-0.0,1.007,1.514,-4.802,-0.167,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,73.321,[0.769],-0.008,-0.0,0.994,1.95,-4.802,-0.171,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,73.721,[0.785],-0.009,-0.0,0.994,2.34,-4.799,-0.174,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,74.17,[0.77],-0.009,-0.0,1.007,2.774,-4.796,-0.176,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,74.571,[0.796],-0.008,-0.0,0.996,-3.077,-4.793,-0.177,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,75.021,[0.818],-0.009,-0.0,0.994,-2.654,-4.788,-0.176,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,75.47,[0.828],-0.009,-0.0,1.007,-2.221,-4.785,-0.173,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,75.87,[0.838],-0.006,-0.0,0.968,-1.824,-4.784,-0.17,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,76.32,[0.831],-0.009,-0.0,0.994,-1.361,-4.784,-0.166,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,76.721,[0.843],-0.009,-0.0,1.007,-0.961,-4.786,-0.163,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,80.382,[0.762],-0.007,-0.0,0.799,1.941,-4.801,-0.172,"[0.081, 0.0, 0.3]",turtlebot3_burger
0,80.876,[0.786],0.059,-0.0,0.246,2.275,-4.807,-0.164,"[0.07, 0.0, 0.046]",turtlebot3_burger
0,81.278,[0.805],0.092,0.0,-0.3,2.253,-4.827,-0.141,"[0.09, 0.0, -0.3]",turtlebot3_burger
0,81.776,[0.814],-0.072,0.0,-0.035,2.161,-4.837,-0.128,"[-0.085, 0.0, -0.159]",turtlebot3_burger
0,82.178,[0.788],-0.057,0.0,-0.06,2.099,-4.825,-0.147,"[-0.083, 0.0, -0.131]",turtlebot3_burger
0,82.58,[0.774],-0.043,-0.0,-0.053,2.015,-4.815,-0.165,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,82.982,[0.769],-0.005,-0.0,-0.055,2.005,-4.81,-0.176,"[-0.037, 0.0, -0.17]",turtlebot3_burger
0,83.479,[0.759],-0.012,0.0,-0.033,2.004,-4.806,-0.185,"[-0.04, 0.0, -0.233]",turtlebot3_burger
0,83.98,[0.754],0.0,0.0,0.001,1.954,-4.801,-0.196,"[-0.042, 0.0, -0.239]",turtlebot3_burger
0,84.478,[0.735],-0.021,0.0,0.055,1.872,-4.795,-0.213,"[-0.075, 0.0, -0.277]",turtlebot3_burger
0,84.88,[0.714],-0.033,0.0,-0.259,1.805,-4.793,-0.223,"[-0.066, 0.0, -0.3]",turtlebot3_burger
0,85.378,[0.723],-0.011,-0.0,0.022,1.759,-4.791,-0.232,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,85.779,[0.697],-0.011,0.0,0.135,1.78,-4.79,-0.237,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,86.18,[0.708],-0.017,0.0,0.11,1.802,-4.789,-0.241,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,86.68,[0.691],0.001,0.0,0.002,1.809,-4.787,-0.247,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,87.177,[0.696],-0.037,-0.0,-0.144,1.796,-4.786,-0.252,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,87.578,[0.684],0.0,0.0,0.001,1.764,-4.785,-0.259,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,87.981,[0.687],-0.024,-0.0,-0.073,1.764,-4.785,-0.259,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,88.481,[0.675],-0.0,0.0,0.0,1.733,-4.784,-0.265,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,88.978,[0.679],-0.0,0.0,0.0,1.733,-4.784,-0.265,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,89.383,[0.672],-0.017,0.0,-0.236,1.686,-4.783,-0.27,"[-0.019, 0.0, -0.3]",turtlebot3_burger
0,94.671,[0.666],-0.0,0.0,-0.001,1.611,-4.783,-0.278,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,99.871,[0.663],-0.0,0.0,-0.001,1.606,-4.783,-0.28,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,100.321,[0.661],-0.01,-0.0,1.005,1.855,-4.782,-0.283,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,100.721,[0.66],-0.008,-0.0,0.998,2.255,-4.78,-0.286,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,101.171,[0.673],-0.009,-0.0,0.994,2.684,-4.777,-0.289,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,101.62,[0.686],-0.01,-0.0,1.005,-3.133,-4.773,-0.289,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,102.071,[0.688],-0.008,-0.0,0.998,-2.699,-4.769,-0.289,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,102.471,[0.711],-0.009,-0.0,0.992,-2.305,-4.767,-0.286,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,102.92,[0.718],-0.009,-0.0,1.005,-1.839,-4.765,-0.282,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,103.321,[0.736],-0.008,-0.0,0.999,-1.438,-4.764,-0.279,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,103.721,[0.723],-0.012,-0.0,0.947,-1.079,-4.766,-0.276,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,104.171,[0.72],-0.01,-0.0,1.004,-0.614,-4.769,-0.272,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,104.621,[0.698],-0.007,-0.0,0.987,-0.152,-4.772,-0.271,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,105.021,[0.693],-0.012,-0.0,0.959,0.239,-4.776,-0.271,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,105.421,[0.685],-0.01,-0.0,1.002,0.603,-4.779,-0.273,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,105.871,[0.667],-0.005,-0.0,0.965,1.069,-4.782,-0.276,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,106.271,[0.663],-0.009,-0.0,0.993,1.466,-4.782,-0.279,"[0.0, 0.0, 0.945]",turtlebot3_burger
0,111.47,[0.726],-0.005,-0.0,0.681,-1.251,-4.765,-0.276,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,116.671,[0.728],0.001,-0.0,0.0,-1.203,-4.764,-0.279,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,117.121,[0.72],-0.02,-0.0,0.833,-1.013,-4.766,-0.276,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,117.571,[0.721],-0.009,-0.0,1.002,-0.594,-4.769,-0.273,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,117.971,[0.702],-0.008,-0.0,0.999,-0.193,-4.772,-0.271,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,118.421,[0.688],-0.013,-0.0,0.935,0.231,-4.776,-0.271,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,118.871,[0.671],-0.009,-0.0,1.002,0.691,-4.78,-0.274,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,119.271,[0.669],-0.008,-0.0,0.999,1.093,-4.782,-0.276,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,119.721,[0.662],-0.009,-0.0,0.985,1.52,-4.783,-0.28,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,120.171,[0.661],-0.009,-0.0,1.002,1.985,-4.782,-0.284,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,120.621,[0.667],-0.007,-0.0,0.988,2.42,-4.78,-0.287,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,121.071,[0.672],-0.009,-0.0,0.993,2.881,-4.776,-0.288,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,121.471,[0.69],-0.009,-0.0,1.002,-3.004,-4.773,-0.289,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,121.92,[0.7],-0.008,-0.0,0.993,-2.569,-4.769,-0.287,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,122.321,[0.707],-0.011,-0.0,0.965,-2.173,-4.767,-0.285,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,122.77,[0.714],-0.009,-0.0,1.002,-1.709,-4.765,-0.281,"[0.0, 0.0, 1.0]",turtlebot3_burger
0,123.171,[0.722],-0.009,-0.0,1.004,-1.307,-4.765,-0.277,"[0.0, 0.0, 0.814]",turtlebot3_burger
0,128.371,[0.663],0.002,-0.0,0.438,1.308,-4.785,-0.277,"[0.0, 0.0, 0.0]",turtlebot3_burger
0,180.528,[0.67],-0.0,0.0,0.0,1.421,-4.784,-0.267,"[0.0, 0.0, 0.0]",turtlebot3_burger
1,180.948,[1.092],0.003,0.0,0.003,-0.006,-3.711,9.21,"[0.193, 0.0, 0.18]",turtlebot3_burger
1,181.357,[1.096],0.176,-0.0,0.186,0.01,-3.671,9.21,"[0.198, 0.0, 0.17]",turtlebot3_burger
1,181.801,[1.101],0.043,-0.0,0.054,0.066,-3.595,9.213,"[-0.114, 0.0, -0.115]",turtlebot3_burger
1,182.203,[1.098],-0.191,0.0,-0.327,-0.018,-3.639,9.211,"[-0.2, 0.0, -0.3]",turtlebot3_burger
1,182.701,[1.086],-0.181,-0.0,-0.28,-0.166,-3.734,9.22,"[-0.181, 0.0, -0.3]",turtlebot3_burger
1,183.102,[1.068],-0.165,0.0,-0.303,-0.287,-3.801,9.235,"[-0.167, 0.0, -0.3]",turtlebot3_burger
1,183.6,[1.045],-0.106,0.0,-0.181,-0.389,-3.869,9.26,"[-0.05, 0.0, -0.287]",turtlebot3_burger
1,184.001,[1.025],0.053,0.0,-0.142,-0.478,-3.879,9.264,"[0.12, 0.0, -0.261]",turtlebot3_burger
1,184.498,[1.051],0.156,0.0,-0.306,-0.538,-3.844,9.245,"[0.159, 0.0, -0.3]",turtlebot3_burger
1,184.898,[1.082],0.179,0.0,-0.298,-0.657,-3.79,9.208,"[0.18, 0.0, -0.3]",turtlebot3_burger
